date,open,high,low,close,volume,adj close,dprice,kprice,ma_5,ma_30
2011-01-03,4.34,4.48,4.33,4.41,175500,3.981876,3.981876,3.981876,,
2011-01-04,4.45,4.47,4.25,4.38,172200,3.9547879999999997,3.9547879999999997,3.9547879999999997,,
2011-01-05,4.35,4.49,4.33,4.48,75500,4.0450800000000005,4.0450800000000005,4.0450800000000005,,
2011-01-06,4.46,4.46,4.14,4.33,502900,3.909642,3.909642,3.909642,,
2011-01-07,4.35,4.46,4.33,4.42,86400,3.990905,3.990905,3.990905,3.9764582000000006,
2011-01-10,4.45,4.54,4.42,4.43,110400,3.9999339999999997,3.9999339999999997,3.9999339999999997,3.9800698000000003,
2011-01-11,4.49,4.58,4.43,4.56,105800,4.117314,4.117314,4.117314,4.012575,
2011-01-12,4.64,4.7,4.48,4.48,104300,4.0450800000000005,4.0450800000000005,4.0450800000000005,4.012575000000001,
2011-01-13,4.5,4.65,4.5,4.6,244600,4.15343,4.15343,4.15343,4.061332600000002,
2011-01-14,4.67,4.99,4.67,4.95,393200,4.4694519999999995,4.4694519999999995,4.4694519999999995,4.1570420000000015,
2011-01-18,5.01,5.02,4.75,4.92,266700,4.4423650000000015,4.4423650000000015,4.4423650000000015,4.245528200000002,
2011-01-19,4.9,4.95,4.75,4.76,2978300,4.297898,4.297898,4.297898,4.281645000000002,
2011-01-20,4.79,4.79,4.53,4.72,139700,4.261781,4.261781,4.261781,4.324985200000002,
2011-01-21,4.78,4.82,4.7,4.75,61100,4.288868,4.288868,4.288868,4.352072800000002,
2011-01-24,4.75,4.9,4.7,4.79,92700,4.324985,4.324985,4.324985,4.323179400000002,
2011-01-25,4.76,4.8,4.72,4.74,67200,4.279839,4.279839,4.279839,4.290674200000001,
2011-01-26,4.77,4.89,4.72,4.86,51900,4.38819,4.38819,4.38819,4.308732600000001,
2011-01-27,4.89,5.15,4.88,5.15,261100,4.650036,4.650036,4.650036,4.386383600000001,
2011-01-28,5.18,5.31,5.15,5.3,360100,4.785474,4.785474,4.785474,4.4857048000000015,
2011-01-31,5.3,5.6,5.3,5.56,712100,5.020233,5.020233,5.020233,4.624754400000002,
2011-02-01,6.56,7.6,6.56,7.5,4090100,6.771897,6.771897,6.771897,5.123166000000002,
2011-02-02,7.5,7.5,7.25,7.41,851800,6.6906339999999975,6.6906339999999975,6.6906339999999975,5.583654800000001,
2011-02-03,7.45,7.45,7.13,7.3,458600,6.591314,6.591314,6.591314,5.9719104000000005,
2011-02-04,7.37,7.38,7.13,7.13,357700,6.437817,6.437817,6.437817,6.302379,
2011-02-07,7.13,7.25,7.06,7.18,357600,6.482963,6.482963,6.482963,6.594925000000001,
2011-02-08,7.15,7.15,6.95,7.09,342200,6.4017,6.4017,6.4017,6.5208856,
2011-02-09,7.05,7.13,7.01,7.13,294700,6.437817,6.437817,6.437817,6.470322200000001,
2011-02-10,7.08,7.95,7.02,7.92,1491500,7.151124,7.151124,7.151124,6.582284200000002,
2011-02-11,8.0,8.36,7.75,8.3,736200,7.494233,7.494233,7.494233,6.793567400000002,
2011-02-14,8.38,8.62,8.07,8.24,666400,7.4400580000000005,7.4400580000000005,7.4400580000000005,6.984986400000002,5.110224233333333
2011-02-15,8.2,8.25,8.02,8.09,239100,7.30462,7.30462,7.30462,7.165570400000003,5.220982366666666
